;text;klasifikasi
1;sore lagi ingin makan jiwa toast yg kari terus pesan lewat jiwa eh double combo dapet vouchernya besar;Positif
2;iunya cakep harus diapresiasi ngeliatnya segar tidak bikin user pusing dan informatif juga;Positif
3;kembali terjadi bayar pake sopipai ditolak sistem padahal saldo ada giliran diulang malah tulisannya tagihan sudah dibayar kan aneh aplikasinya ngaco;Negatif
4;tidak perlu khawatir lagi tidak perlu antri buat beli jiwa toast fav aku tinggal pick up aja belinya lewat jiwa ;Positif
5;wiiii mantap dah tidak cuma download jiwa menang banyak promo gwd;Positif
6;uinya sederhana tidak ribet trs appnya jg ringan tidak bikin lambat hp sama skali;Positif
7;aplikasi jiwa ini keren dahh gw baru tau dateng tinggal duduk aja tidak perlu antri pesannya ;Positif
8;mantap jiwa;Positif
9;ada notif promo otw buka aplikasi cari yg promo an lah kok mau di masukin keranjang tidak bisa wkwk tulisannya internet error mulu dahal dah ganti pake wifi sama data seluler sama aja niat kasi promo gak sih dari kemarin begini mulu ;Negatif
10;langsung senang kalau buat jiwa trus pas lagi ada gooddeals mana tidak perlu antri pesannya;Positif
11;kalo pengen toast janjiw walaupun aku dimall tinggal duduk aja pesannya lewat jiwa deh tidak perlu antri;Positif
12;enak nya pake aplikasi ini gw bisa pilih mau pesan dioutlet dan pick up dimana pkoknya smua prosesnya sampe bayar tuh sederhana;Positif
13;banyak promo dan harganya jauh lebih murah dibanding beli lewat ojol;Positif
14;good deals banget udh promonya banyak ditambah lg kl ajak temen buat download dpt voucher lg mana gede ;Positif
15;wih wih gue ajak temen buat download ini trs pake refferal code lumayan banget cuy dpt potongan voucher ;Positif
16;ngecek app jiwa selalu jadi highlight harian tampilannya kece dan selalu ada promo yang sayang banget kalau dilewatkan jadi cek jiwa terus buat liatin promonya;Positif
17;beli kopi di app jiwa rasanya kayak dapet jackpot terus soalnya promo selalu bikin bahagia deehh;Positif
18;pengalaman menggunakan aplikasi sangat buruk tidak bisa masuk sama sekali hanya stuck di menu pencarian toko sebelum dan sesudah update pun masih sama padahal internet lancar dan spesifikasi device yang digunakan masih sesuai dengan minimum aplikasi ;Negatif
19;pembelian promo lewat aplikasi sering di tolak;Negatif
20;mantap hanya sayang beberapa outlet pelayanannya lambat padahal kita udah pesan menit diawal jilid ;Netral
21;cakep banget ini aplikasinya kemaren dapet promo beli toast gratis minum dong;Positif
22;aplikasi ini sangat membantu datang ke outlet kopi langsung jadi tidak perlu menunggu lagi suka banget;Positif
23;kapan lagi dapet promo diskon modal invite temen buat download jiwa wkwk;Positif
24;aplikasi bagus tampilan utamanya banyak promo gakan ketinggal diskon kl gini;Positif
25;aku bisa bilang jiwa ini mudah digunakan terutama buat pengguna baru dan tidak akan pusing karena aplikasinya bersih dan sederhana;Positif
26;keren;Positif
27;fiturnya simple banget bagus tp ku suka karna isinya banyak promo wahahaha;Positif
28;promo nya pertahankan ya min kl bisa banyakin ehh jatuh cinta nih sm aplikasinya ;Positif
29;paraahhhhh janji jiwa ciracas ga cantumin no hp;Negatif
30;aplikasi ini andalan banget disaat bm tp tidak mau antri;Positif
31;kemarin bm banget jiwa toast pesan lewat jiwa lumayan banget dapet dpt potongan promo plus tidak perlu antri lagi ;Positif
32;sudah kali pesan dibatalkan sistem;Negatif
33;tampilannya cantik mereka bikin tampilannya sederhana dan enak nya bayarnya ga ribet terima semua jenis pembayaran;Positif
34;tidak perlu antri semenjak pake app jiwa udh simple dapet promo pula makk;Positif
35;jelek banget aplikasi tanggung banget pesanan sering dibatalkan gak langsung ke pengembalian dana masa pengembalian dana aja hari kerja gila banget ;Negatif
36;kesukaan aku si pake jiwa tuu aku pake itu udah x wakakak lumayan banyak promonya;Negatif
37;najis lambat banget aplikasi apaan tidak usah sok pake aplikasi klo lambat;Negatif
38;tidak bisa masuk kode verifikasi nya padahal singal aman udah di restart juga hpnya;Negatif
39;udah gak mau ribet nunggu lagi jiwa bikin beli kopi jadi makin asyik tinggal pesan langsung pick up dehh;Positif
40;muter tidak praktis;Negatif
41;jiwa ini penyelamat buat aku si pecinta kopi banyak promonya emang udah paling mantap banget;Positif
42;banjarmasin banyak cabang nya tapi kenapa tidak tersedia di aplikasi ini ;Negatif
43;kemarin abis nyobain app jiwa garagara liat promoan di twitter mayan juga dapet diskon buat pengguna baru ihiy;Positif
44;mantap enak;Positif
45;sebagai pengguna baru diskon voucher di jiwa tu berguna banget buat aku mayan lah ngehemat;Positif
46;menu diappnya lengkap bangett dan promonya menarik buat gw personally appnya berguna skalii ;Positif
47;satu lagi kelebihan jiwa bisa beli kopi favorit tanpa bikin dompet nangis diskonnya banyak banget jadinya sekarang aku selalu order lewat app hehehe;Positif
48;tampilannya sederhana bersih mudah dipakai promonya juga ok banget ;Positif
49;karena beli pakai voucher diskon jadi dapatnya didiskon juga tidak seperti biasanya terkahir beli di mall sumarecon bekasi ga di infoin sm outletnya kalo kopinya habis berasa susu di gulain ditambah air;Positif
50;langsung order kopi di jiwa sekarang tidak perlu nunggu lama tinggal pick up aja ke storenya mhixixi;Positif
51;terima kasih banyak buat temen w yg rekomendasiin jiwa soalnya sekarang bisa ngopi tanpa dompet boros;Positif
52;saya harap kedepannya ada mode gelap pada tampilan aplikasinya;Netral
53;tidak ada opsi batalkan pesanan setelah payment pengalaman salah pilih outlet padahal pesan percis di depan outlet yg diinginkan sistem otomatis memilih outlet yg lebih jauh karena di aplikasi status outlet yg diinginkan sudah tutup padahal offlinenya masih buka sebagai masukan seharusnya bisa batalkan pesanan dan pengembalian dana masuk ke saldo aplikasi dan ditambahin lagi dengan fitur chat supaya bisa konfirmasi ke outlet misal terjadi kesalahan pesanan gak tau deh itu pesanan sy yg minum siapaa;Negatif
54;enak nya sekarang kalau mau beli kopi tinggal pesan lewat jiwa terus pick up aja deh ga ada drama nunggu lama lama;Positif
55;outlet sering bermasalah dan salah bikin pesanan;Negatif
56;kalau beli langsung kan lumayan boros yaa soalnya aku ngopi tiap hari wkwk kemarin dikasih tau kasirnya bisa pake jiwa beneran banyak promonya coy enak banget emangg;Positif
57;penipu promo percuma ngadain promo tapi tidak bisa dipesan;Negatif
58;semenjak pake jiwa jadi sering ngopi tapi tetep hemat emang terbaik sii soalnya banyak promo juga;Positif
59;lebih simpel dan lebih banyak promo;Positif
60;lebih murah beli pake aplikasi perbanyak terus diskon n promonya;Positif
61;app jiwa cakep banget ringan gak bikin hp lambat promonya ya selalu bikin senyum deh pokok'e;Positif
62;iseng order janjiw di aplikasi jiwa jadi pas nyampe tempatnya bisa langsung pick up praktis abis ;Positif
63;awalnya download karena kepo tapi beneran banyak voucher promo dan tampilannya simple gak bikin pusing ;Positif
64;aku sekarang pake jiwa aplikasi buat pick up order janjiw gituu makin asik deh tidak perlu antri lama sekarang ;Positif
65;alamat berubah terus udah pilih alamat baru kembali lagi ke alamat terdeteksi merugikan pelanggan ;Negatif
66;point jiwanya udah gak berlaku lagi;Negatif
67;bintang satu dulu untuk perbaikan app saya sarankan ada pemilihan jam pick up percuma order by app kalau gak bisa pilih jam pick up sama saja seperti beli on the spot;Netral
68;memudahkan jika ada promo ;Positif
69;aplikasi scam doang banyak promo tp stok kopi basicnya kosong mlulu giliran di samperin ke stornya ada doong x klo ditengok tengok ke aplikasiilasi pasti selalu tetep out of stok;Negatif
70;kebiasaan ya kaliankalo lg ada promo pasti aplikasi kalian eror selalu gitu yaa dr pagi ke pagi kalo gak eror pasti menu yg dipromoiin habis tidak tersedia padahal di cek trs masih habis menunya kalo gak niat promo jgn promo jadi tidak suka;Negatif
71;baru buka aplikasi ada video gak penting bikin lambat;Negatif
72;ok;Positif
73;aneh di gojek tersedia tpi di aplikasi terbilang stock habis tolong dong untuk daerah palembang stock nya di update masa item nya udah seminggu kosong ;Negatif
74;praktis;Positif
75;ga ada perbedaan keuntungan sama sekali dari loyalty membership jiwa ke teman sejiwa;Negatif
76;mau simpan alamat atau milih alamat gagal trs ribet;Negatif
77;murah banget kalo pke discon ;Positif
78;promo nya hoax mulu ;Negatif
79;secara aplikasi stok selalu habis ketika datang ke outlet ada minumanya gak jelas apa cuma mau collect data pribadi aja ini aplikasi ;Negatif
80;tolong ada in fitur bayar di tempat dong cash ;Netral
81;berisik notifikasi mulu;Negatif
82;titik kirimnya eror gak ada fitur cancelnya kalo udah dibayar jadi kalo ada kesalahan alamat atau salah pesan yaudah uang hangus;Negatif
83;bisa ga si tiap bulan ga usah update mulu capek;Negatif
84;mohon maaf saya beri bintang saya sudah coba x saatau sign in tp kode otpnya tidak terkirim melalui wa;Negatif
85;kenapa aplikasi nya sering disuruh update padahal baru hari udah disuruh update;Negatif
86;salah outlet gabisa dibatalkan ambil pesanan dihari berikutnya tidak bisa tidak jelas;Negatif
87;tidak bisa daftar apa karena no hape digit;Negatif
88;selalu pake aplikasi ini klo mau beli kjj lumayan harga klo pke promo;Positif
89;aplikasinya keren;Positif
90;setelah diupgrade aplikasi ini jadi sangat lambat dalam menca ri outlet;Negatif
91;nggak bisa login ;Negatif
92;ampir tiap beberapa minggu minta update terus performa sama aja tidak ada bedanya;Negatif
93;aplikasinya lambat parah benerin dulu lah aplikasinya kalo mau pake aplikasi;Negatif
94;keseringan banget harus update;Negatif
95;minta di perbaharui mulu heran deh;Negatif
96;terlalu sering update aplikasi dibanding aplikasi kopi lainnya jadi bikin lama kalau mau pesan melalui aplikasi;Negatif
97;emg kalo satu lokasi stok abis jadi satu kota stok nya abis juga ya masa tiap hari ngecekin menu baru stok abis mulu satu kota pdhal udh updte terbaru aplikasi nya;Negatif
98;sering error lama jiwa point tidak bisa di pake;Negatif
99;kenapa sekarang kalo mau pesan harus di updet dlu yaa aplikasinya;Netral
100;top banget;Positif
101;kenapa ditempat saya kalau di aplikasi lagi promo selalu stok habis pdhal baru buka emang tersedia cuman aja;Negatif
102;gak ush donwload ini seluru tokoh barang tidak tersedia stok habiss tiap saat masa tidak tersedia trss ;Negatif
103;mending tidak usah ngadain promo aplikasi kalau produkny dibuat stock habis semua giliran beli ditoko secara langsung ternyata produkny ada;Negatif
104;kadang lambat lambat;Negatif
105; jangan bikin aplikasi kalo server ga kuat berkali kali order error buat streaming kenceng tapi buat order via app aja error terus ;Negatif
106;pesan dari aplikasi yang seharusnya bisa lebih efisien langsung pick upeh malah harus nyampe store baru orderan kita diterima lanjut dibikini setelah sebelumnya kita beritahukan saya ada mesan via aplikasi dan kejadiannya berulang malah kocak dah ;Negatif
107;aplikasi aneh beberapa kali mau order informasinya masuk keranjang tapi kocak keranjang aja gak ada tujuan dibuat aplikasi kan biar cepet sar set lah ini nyari keranjang order aja kaga ada kacau nih team it nya pada ngapain ya;Negatif
108;tidak ada opsi batalkan pesanan setelah payment pengalaman salah pilih outlet padahal pesan percis di depan outlet yg diinginkan sistem otomatis memilih outlet yg lebih jauh karena di aplikasi status outlet yg diinginkan sudah tutup padahal offlinenya masih buka sebagai masukan seharusnya bisa batalkan pesanan dan pengembalian dana masuk ke saldo aplikasi gak tau deh itu pesanan sy yg minum siapa ga mau sy bela in dari cibinong ke citayam untuk gelas minuman ;Negatif
109;baru instal udh dapet voucher dong hahaha suka banget deh selain bisa self pickup bisa dpt promo juga;Positif
110;tiap beli yg diskon pasti ada atau kali pesan di cancel sama outlet nya wkwkwk apa karna gua beli nya cuma doang yah trus keseringan wkwkwkw;Negatif
111;tambahkan menu pembatalan di transaksi pemesanan karena ada kemungkinan salah pilih outlet tmpt pemesanan;Netral
112;enak pokoknya pake aplikasi ini bisa pickup order sendiri gitu jadi lebih hemat waktu plus banyak promo juga;Positif
113;setelah update kok icon keranjang belanja nya hilang;Negatif
114;mantap banget skrg kalau mau pesan udah bisa lewat appsnya promo nya juga selalu aad;Positif
115;suka banget disini banyak promonya tp aku jadi sering jajan hehehehe;Positif
116;aplikasi sering salah titik padahal tidak pernah dganti alhasil pesanan salah alamat padahal udh sering order tidak pernah ganti outlet tp ini kok bisa titik outlet yg diorder sangat jauh saldo kepotong pesanan gak bisa di cancel kecewa;Negatif
117;ak jd semangat ngumpulin points mengejar naik level jadi sampai belahan jiwa;Positif
118;murah banget pesan lewat app ini makin rajin dehh aku ngopinya;Positif
119;dowload aplikasi ini karna rekomendasi temen sih eh pas liat banyak promo jadi semangat ngopi tiap hari ;Positif
120;sebagai anak kost kanker alias kantung kering aku merasa terbantu dalam jajan kopi kalau pakai jiwa;Positif
121;sangat menguntungkan ya install app ini karena promonya unlimitedd;Positif
122;dijamin akan super berguna buat yang mau tetep ngopi di tanggal tua;Positif
123;promonya ada dan memang lebih murah dibanding rd party app tapi gatau kenapa kayaknya di semua outlet di tmpt ku stock di app nya ga di refill jadinya stock nya selalu habis padahal di app lain msh ada tolong diperbaiki ;Netral
124;tampilannya simpel ga buat pusing plus banyak promo yang ekslusif juga;Positif
125;ribet banget mending langsung pke gojek atau grabsya download atas saran dr mba penjaga counter yg dkt statiun kota bekasi tapi setelah download sy tdk dibantu penjelasan dan akhirnya saya salah pesan di counter lain dari aplikasi ini dan merepotkan saya untuk ambil pesanan sendiri dan mencari counter tersebut saran saya jika konsumen sudah sampai di counter tersebut tolong layani manual aja jd ga repot ke aplikasi terima kasih;Negatif
126; gak bisa membuka aplikasi setelah update sudah re install malah gak bisa di install lagi;Negatif
127;udah beberapa hari ini order kopi terus buat temen skripsian dan selalu lewat jiwa;Positif
128;tampilannya simpel ga buat pusing plus banyak promo yang ekslusif juga;Positif
129;gak usah kau buat aplikasi ini pekerja nya gak pernah liat aplikasinya karna alasan gak ada notif ;Negatif
130;percuma promo jika stok selalu tidak ada;Negatif
131;pokoknya nie recommended banget krna banyak diskon sama promonya;Positif
132;fiturnya banyak dan jelas banget tapi anehnya ga lambat;Positif
133;percuma ada aplikasi bukannya mempermudah setiap order di tolak terus;Negatif
134;jelek sekali semua varian kopi yg promo di aplikasi jiwa stock tidak tersedia kalau beli tanpa aplikasi tersedia untuk apa download aplikasi ini outle di kota saya jiild ;Negatif
135;aplikasi tidak bisa dibuka;Negatif
136;aplikasinya cocok untuk hpku yang kentank alias ringan pol;Positif
137;lumayan nihh jiwa point aku udah banyak saking seringnya aku order di jiwa;Positif
138;cepat mudah banyak promo freeong dan diskon ;Positif
139;kecewa tiap kali cek aplikasi promo kopi susu selalu stok habis sebenarnya pesanan melalui aplikasi ini sangat menarik dan memudahkan karena banyak promonya cuma sayang sekali tiap kali promo seperti nggk niat mau promo promo yg paling sering kopi susu tapi selalu keterangan di aplikasi stok habis padahal sudah buka aplikasi dari pagi sejak toko buka mending tidak usah di buat promo kalo selalu tidak tersedia di aplikasi;Negatif
140; tidak seperti dulu cepat dan mudah;Negatif
141;kalau tidak niat bikin promo mending gak usah sekalian lah masak promo tapi kopi susunya selalu stok habis dari mulai buka tiap hari pula itu kayak gitu hadeehhh;Negatif
142;membantu menghemat pengeluaran juga sih ini aplikasi tiap beli kopi sering dapet promo dan bisa kumpulin pointsnya juga;Positif
143;pada halaman login aplikasi masih terdapat bug ketika sudah mengisi full name dan akan mengisi email ketika field email di input email field inputan full nama juga terganti menjadi isi email terimakasih;Negatif
144;promo nya mantap;Positif
145;suka banget banget banget sm appnya karena voucher plus promonya semoga tambah banyak ya;Positif
146;promo murah bohong pagi sore siang malam berganti bulan ttp stok habis kalau tidak niat tidak usah pasang promo murah saya penguna lama dari awal janji jiwa buka jadi pelanggan yang awal pake aplikasi ni jg jd pelanggan cb jangan di bohongin;Negatif
147;tidak ada tombolbutton untuk cancel saya beli take away salah lokasi tidak bisa cancel untuk ganti tempat tidak membantu sekali dan sangat merugikan;Negatif
148;jelek pesan ditolak terus ;Negatif
149;udah beberapa kali order lewat jiwa dan selalu lancar ;Positif
150;makin kesini makin pelit banyak menu minumannya dan makanan yang di kurangi ga kaya dlu loyal keknya sekarang lebih suka kopi kenangan gara gara promo jenius ;Negatif
151;merahmerah merona cakep gitu yee tampilan appnya ditambah baru install langsung dapet voucher kurang mantap jiwa apaa xixixixi;Positif
152;menguntungkan banget install app ini promonya ga habis;Positif
153;kadang cepat kadang pesanan lama juga;Netral
154;appnya tampilannya bagus semoga makin banyak promo dan vouchernya xiixxi;Positif
155;pemesanan harus berulang kali baru bisa diterima kadang kepesan kadang dibatalin banyak dibatalinnya ;Negatif
156;terbaik langganan selalu ;Positif
157;ternyata promonya banyak yang ekslusif untuk di app jiwa aja makin rajin aja gue pake ni app;Positif
158;gampang digunakan;Positif
159;biasanya balik kampus aku pesan di jiwa sambil jalan sampai sana tadaa sudah jadi hihihi;Positif
160;sangat kecewa pertama transaksi saldo sudah berkurang tapi keterangan diorderan dibatalin dan pas ke outlet langsung belum nerima orderan padahal saya ada bukti transaksi pembayaran berhasil lewat shopeepay udah konfirmasi cs nya malah gak ada kejelasan bukan masalahin nominalnya tapi kecewa lg pengen banget minum kopi janji jiwa gal bisaa karna kendala orderan yg gak jelas ;Negatif
161;kalau di kantor pada kepengen ngopi aku auto inisiatif pesanin lewat jiwa biar dapet banyak poin xixixi;Positif
162;memudahkan;Positif
163;kirain tersedia di banjarmasinbanjarbaru eh ga semua ternyata ;Negatif
164;aplikasinya enak banget dipakenya buat pengguna baru juga pasti akan langsung paham pakai jiwa;Positif
165;beli item d aplikasi ternyata nya gelas kecil imut banget bukan gelas reguler kenapa bisa begitu ;Negatif
166;tidak ada pertanggung jawaban dr driver karna kendala produk tidak sampai ditangan saya bahkan saya sudah menunggu hampir jam bilangnya sudah dikirim tetapi tidak ada padahal saya sudah bayar jasa pengiriman dan bayar produk tetapi malah saya yg rugi ;Negatif
167;aplikasi harus dibenahi tambahan fitur batalkan pesanan seharusnya diadakan karena sangat menyulitkan jika ternyata ada kesalahan saat input outlet;Negatif
168;kenapa tidak bisa login si;Negatif
169;tidak ada outlet jayapura di app tapi kalo offline ada mohon perbarui;Negatif
170;seneng banget dapat voucher untuk pengguna baru otw rajin beli kopi lewat jiwa;Positif
171;semangat aku ngumpulin poin di app jiwa karena ternyata bisa dipakai jajan kopi lagii;Positif
172;bagus;Positif
173;install karena dipaksa temen buat make referral code dia eh malah ketagihan pakai jiwa karena promonya berlimpah benerr;Positif
174;minta update mulu tapi gada yg berubah di aplikasinya;Negatif
175;agak lambat aplikasinya;Negatif
176;kenapa di laporan penambahan poin hanya sampai bulan agustus sedangkan setiap pembelian dari bulan september sampai bulan oktober ini tidak ada laporannya jadi alhasil poin sata tidak bertambah walaupun sering beli ini bagaimana ya padahal sudah sering update;Negatif
177;ga ada yg ngalahin serunya belanja kl tidak ada promo ni jiwa keren deh promonya ada aja slalu;Positif
178;ga seru ah sebelum di update promonya lbh menarik stlh di update makin menurun promo nya padahal pengguna jiwa sejati agak nyesel sih nga update beeh selalu aja kayak gini klo ada pembaharuanupdate selalu ga bs dan error udh dicoba berbagai cara dr mulai internet datawifi tetep ga bs karena kesel langsung uninstall appklikasi nya sorry pensive ;Negatif
179;aplikasi mudah digunakan;Positif
180;aplikasi nya minta update trs menu promo bagus beragam beda bnyak pilihan tp sekali diklik mau beli tidak tersedia terus untuk semua promo nya dan semua outlet dipalembang nih konsepnya ngasih promo jalur gambar doang wkwk ngerasa tidak ada guna nya download aplikasi jj sih jdnya kecewa pindah aplikasi kopi yg lain deh semoga diperbaiki ya sistem aplikasi jj nya makasih;Negatif
181;bagus;Positif
182;berawal dari temen pake aplikasi ini eh jadi ikut download karena banyak promo yang bisa kita pake udah gitu aplikasinya simpel jadi bisa gampang dipake;Positif
183;pesan nya spicy bulgogi yg dikirim egg mayo mentang promo;Negatif
184;setelah update aplikasi ada perubahan semoga jiwa semakin baik kedepannya;Positif
185;aplikasi harusnya bisa menyesuaikan titik lokasi atau maps pada saat order tp titik lokasi pada saat pesan tidak ada kurang efektif bila pakai pilihan outlet tidak menyesuaikan titik lokasi tempat customer dan menu coffe latte harus selalu di note pakai gula ;Negatif
